Manhattan, 1.5 ,Niagara,20260213,144917
Columbia, 3.5 ,Penn,20260213,144917
Cornell, -3.5 ,Princeton,20260213,144917
Quinnipiac, 3.5 ,Siena,20260213,144917
Yale, -9.5 ,Dartmouth,20260213,144917
Saint Peter's, -2.5 ,Sacred Heart,20260213,144917
George Mason, 2.5 ,George Washington,20260213,144917
Mount St. Mary's, -4.5 ,Rider,20260213,144917
Iona, -5.5 ,Canisius,20260213,144917
Brown, 8.5 ,Harvard,20260213,144917
Michigan State, -2.5 ,Wisconsin,20260213,144917
Saint Louis, -18.5 ,Loyola Chicago,20260213,144917
Ohio, 9.5 ,Miami (OH,20260213,144917
UMass, 13.5 ,Akron,20260213,144917
UNLV, 10.5 ,Boise State,20260213,144917
North Carolina A&T, 2.5 ,Hampton,20260213,144917
