Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Michigan,2220.0,-3.5,+50
2,Arizona,2134.0,-0.2,-45
3,Duke,2129.0,-3.1,+0
4,Purdue,2053.0,-0.4,+0
5,Illinois,2044.0,-0.2,-19
6,Florida,2040.0,-0.1,+0
7,St. John's (NY),2038.0,-0.1,+0
8,Houston,2035.0,-0.2,+0
9,UConn,2031.0,-1.4,+14
10,Arkansas,1996.0,-0.2,+0
11,Vanderbilt,1991.0,-0.2,+0
12,Michigan State,1987.0,-0.0,+0
13,Tennessee,1987.0,-0.4,+0
14,Iowa State,1977.0,-0.4,+0
15,Alabama,1968.0,-1.1,+0
16,Gonzaga,1941.0,-0.7,+0
17,Wisconsin,1923.0,-0.4,+0
18,Virginia,1914.0,-0.3,+0
19,UCLA,1907.0,-0.4,+0
20,Iowa,1897.0,-0.2,+0
21,Oklahoma,1892.0,-0.0,+10
22,Kansas,1891.0,-0.2,+0
23,Nebraska,1887.0,-0.1,+0
24,Texas Tech,1884.0,-0.1,+0
25,Louisville,1881.0,-0.2,+0
26,Ohio State,1875.0,-0.0,+0
27,TCU,1874.0,-0.1,+0
28,Kentucky,1871.0,-0.2,+0
29,Utah State,1865.0,-0.1,+0
30,Texas,1862.0,-0.2,+0
31,Cincinnati,1858.0,-0.1,+0
32,VCU,1855.0,-0.3,+0
33,Saint Mary's,1847.0,-0.4,+0
34,Texas A&M,1838.0,-0.0,+0
35,BYU,1837.0,-0.0,+0
36,Santa Clara,1836.0,-0.2,+0
37,Miami (FL),1830.0,-0.0,+0
38,Auburn,1830.0,-0.2,+25
39,UNC,1825.0,-0.6,+0
40,South Florida,1809.0,-0.1,+0
41,Saint Louis,1807.0,-0.2,+0
42,West Virginia,1801.0,-0.2,+75
43,New Mexico,1795.0,-0.2,-14
44,Villanova,1790.0,-0.1,+0
45,San Diego State,1787.0,-0.0,+0
46,Clemson,1786.0,-0.6,+0
47,Georgia,1771.0,-0.1,+0
48,Wichita State,1769.0,-0.0,+0
49,Missouri,1769.0,-0.0,+0
50,Tulsa,1768.0,,+4
